城市名称,经度,维度
沈阳,123.429092,41.796768
长春,125.324501,43.886841
哈尔滨,126.642464,45.756966
北京,116.405289,39.904987
天津,117.190186,39.125595
呼和浩特,111.75199,40.84149
银川,106.23248,38.48644
太原,112.549248,37.857014
石家庄,114.502464,38.045475
济南,117.000923,36.675808
郑州,113.665413,34.757977
西安,108.948021,34.263161
武汉,114.298569,30.584354
南京,118.76741,32.041546
合肥,117.283043,31.861191
上海,121.472641,31.231707
长沙,112.982277,28.19409
南昌,115.892151,28.676493
杭州,120.15358,30.287458
福州,119.306236,26.075302
广州,113.28064,23.125177
台北,121.520076,25.030724
海口,110.19989,20.04422
南宁,108.320007,22.82402
重庆,106.504959,29.533155
昆明,102.71225,25.040609
贵阳,106.713478,26.578342
成都,104.065735,30.659462
兰州,103.83417,36.06138
西宁,101.77782,36.61729
拉萨,91.1145,29.64415
乌鲁木齐,87.61688,43.82663
香港,114.16546,22.27534
澳门,113.54913,22.19875
